rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,country code,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,,intl_stu_dec,intl_val,stu_val,female,male,stu_rank,stu_rank_a
93,Vanderbilt University,67.4,930,54.1,104,48.5,153,96,37,96.5,99,62.9,521,private,0,/world-university-rankings/vanderbilt-university,,United States,"12,971",3.9,17%,55:45:00,Vanderbilt University,"Physics & Astronomy,Mechanical & Aerospace Engineering,General Engineering,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Psychology,Other Health,Economics & Econometrics,Chemistry,Mathematics & Statistics,Accounting & Finance,Communication & Media Studies,Business & Management,Civil Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Geography,Politics & International Studies (incl Development Studies),Biological Sciences,Archaeology,Electrical & Electronic Engineering,Law,Education,Chemical Engineering,Languages, Literature & Linguistics",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-72359222,,0.17,2205.07,12971,55,45,1320,1352
94,Charité - Universitätsmedizin Berlin,67.2,940,47.5,165,49.1,149,97.7,16,100,3,75.2,327,master_account,0,/world-university-rankings/charite-universitatsmedizin-berlin,,Germany,"8,868",17.5,21%,65:35:00,Charité - Universitätsmedizin Berlin,"Medicine & Dentistry,Other Health",FALSE,FALSE,FALSE,,,0.21,1862.28,8868,65,35,1707,966
95,Lomonosov Moscow State University,67,950,87.5,17,75.2,46,33.9,1352,91.1,155,73.8,354,master_account,0,/world-university-rankings/lomonosov-moscow-state-university,,Russia,"32,680",9.6,37%,50:50:00,Lomonosov Moscow State University,"Art, Performing Arts & Design,Agriculture & Forestry,Biological Sciences,Chemistry,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Education,Chemical Engineering,Communication & Media Studies,Computer Science,Geography,History, Philosophy & Theology,Sport Science,Law,Other Health,Geology, Environmental, Earth & Marine Sciences,Psychology,Languages, Literature & Linguistics,Medicine & Dentistry,Physics & Astronomy,Accounting & Finance,Archaeology,Mathematics & Statistics,Business & Management,Sociology",FALSE,FALSE,TRUE,,,0.37,12091.6,32680,50,50,373,2300
96,University of Tübingen,67,960,49.1,142,56.5,106,89,138,99.8,45,72,375,master_account,0,/world-university-rankings/university-tubingen,,Germany,"21,632",27.1,14%,59:41:00,University of Tübingen,"Chemistry,Economics & Econometrics,Communication & Media Studies,Physics & Astronomy,Medicine & Dentistry,Geography,Politics & International Studies (incl Development Studies),Biological Sciences,Sport Science,Accounting & Finance,Computer Science,Psychology,Languages, Literature & Linguistics,Education,Business & Management,Mathematics & Statistics,History, Philosophy & Theology,Archaeology,Geology, Environmental, Earth & Marine Sciences,Other Health,Law,Sociology",FALSE,FALSE,FALSE,,,0.14,3028.48,21632,59,41,772,1901
97,KTH Royal Institute of Technology,66.9,970,53.5,107,57.8,95,81,300,97.7,89,82.5,213,master_account,0,/world-university-rankings/kth-royal-institute-technology,,Sweden,"13,269",15.9,26%,34 : 66,KTH Royal Institute of Technology,"Chemical Engineering,General Engineering,Economics & Econometrics,Mathematics & Statistics,Architecture,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Education,Computer Science,Mechanical & Aerospace Engineering,Biological Sciences,Chemistry,Civil Engineering,Business & Management,Electrical & Electronic Engineering",FALSE,FALSE,FALSE,,,0.26,3449.94,13269,34,0,1297,1376
98,University of Southampton,66.9,980,48.9,143,50.1,140,92.7,82,73.1,368,96.5,26,master_account,0,/world-university-rankings/university-southampton,,United Kingdom,"19,920",13,35%,51:49:00,University of Southampton,"Geography,Computer Science,Geology, Environmental, Earth & Marine Sciences,Other Health,Civil Engineering,Chemistry,Business & Management,General Engineering,Communication & Media Studies,Economics & Econometrics,History, Philosophy & Theology,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Law,Archaeology,Biological Sciences,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Psychology,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Sociology,Accounting & Finance",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-58225932,,0.35,6972,19920,51,49,852,1821
99,Erasmus University Rotterdam,66.7,990,38.5,347,54.1,116,96.9,31,94.7,122,90.6,124,master_account,6,/world-university-rankings/erasmus-university-rotterdam,,Netherlands,"33,874",36,25%,54:46:00,Erasmus University Rotterdam,"Biological Sciences,Law,Psychology,Mathematics & Statistics,Art, Performing Arts & Design,Other Health,History, Philosophy & Theology,Sociology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Accounting & Finance,Business & Management,Medicine & Dentistry,Education,Communication & Media Studies",FALSE,FALSE,FALSE,,,0.25,8468.5,33874,54,46,335,2338
100,Ohio State University (Main campus),66.7,1000,55.8,92,52.7,123,88.4,147,85,209,67.3,441,public,0,/world-university-rankings/ohio-state-university-main-campus,,United States,"55,538",11.4,11%,51:49:00,Ohio State University (Main campus),"Art, Performing Arts & Design,Medicine & Dentistry,Psychology,Agriculture & Forestry,Accounting & Finance,Computer Science,Other Health,Archaeology,Education,Business & Management,Economics & Econometrics,Communication & Media Studies,Mechanical & Aerospace Engineering,Chemical Engineering,Architecture,Sport Science,Sociology,Law,Languages, Literature & Linguistics,Veterinary Science,Biological Sciences,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,History, Philosophy & Theology,Physics & Astronomy,Chemistry,Geography,General Engineering,Civil Engineering",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-88908463,,0.11,6109.18,55538,51,49,94,2579
101,University of Birmingham,66.6,1010,46.1,185,49.3,147,95.5,42,72.1,383,95.1,45,master_account,0,/world-university-rankings/university-birmingham,,United Kingdom,"32,625",15.2,32%,58:42:00,University of Birmingham,"Art, Performing Arts & Design,Civil Engineering,Geography,General Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Archaeology,Mathematics & Statistics,Accounting & Finance,Other Health,Physics & Astronomy,Education,History, Philosophy & Theology,Sport Science,Psychology,Languages, Literature & Linguistics,Chemical Engineering,Law,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Sociology,Computer Science,Chemistry,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies)",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-24885315,,0.32,10440,32625,58,42,376,2297
102,Free University of Berlin,66.5,1020,52.1,117,59.7,86,82.5,272,71.6,394,82.4,214,master_account,0,/world-university-rankings/free-university-berlin,,Germany,"25,427",41.5,20%,63:37:00,Free University of Berlin,"Politics & International Studies (incl Development Studies),Chemistry,Communication & Media Studies,Art, Performing Arts & Design,Business & Management,Archaeology,History, Philosophy & Theology,Biological Sciences,Computer Science,Psychology,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Education,Sociology,Physics & Astronomy,Veterinary Science,Economics & Econometrics,Accounting & Finance,Geography,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,FALSE,,,0.2,5085.4,25427,63,37,623,2050
103,University of Copenhagen,66.3,1030,49.2,139,51.1,134,91.3,102,89.5,171,80.1,255,master_account,0,/world-university-rankings/university-copenhagen,,Denmark,"31,728",4.3,14%,62:38:00,University of Copenhagen,"Sport Science,Chemistry,Archaeology,Geography,Medicine & Dentistry,Languages, Literature & Linguistics,Computer Science,Other Health,Mathematics & Statistics,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Psychology,Biological Sciences,Law,Veterinary Science,Economics & Econometrics,Agriculture & Forestry,Sociology,Physics & Astronomy,Politics & International Studies (incl Development Studies),History, Philosophy & Theology",FALSE,FALSE,FALSE,,,0.14,4441.92,31728,62,38,397,2276
104,McMaster University,66.3,1040,43.8,225,51.3,133,93,76,100,17,87.3,162,master_account,11,/world-university-rankings/mcmaster-university,,Canada,"28,254",30.9,22%,56:44:00,McMaster University,"Other Health,Physics & Astronomy,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Biological Sciences,Psychology,Art, Performing Arts & Design,Civil Engineering,Sociology,Languages, Literature & Linguistics,Chemical Engineering,Geography,Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Sport Science,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Computer Science,Chemistry",FALSE,FALSE,FALSE,,,0.22,6215.88,28254,56,44,518,2155
105,University of Sheffield,66.2,1050,48,161,49.5,144,92.3,88,77.5,297,92,100,master_account,11,/world-university-rankings/university-sheffield,,United Kingdom,"27,860",15.4,40%,53:47:00,University of Sheffield united kingdom UK Sheffield,"History, Philosophy & Theology,Computer Science,Geography,Archaeology,Mathematics & Statistics,Sociology,Languages, Literature & Linguistics,Chemical Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Chemistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Other Health,Economics & Econometrics,Communication & Media Studies,Law,Civil Engineering,Physics & Astronomy,Medicine & Dentistry,Accounting & Finance,Business & Management,Psychology,Architecture,Biological Sciences,Education",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-51616042,,0.4,11144,27860,53,47,536,2137
106,Emory University,66.1,1060,53.1,109,45.7,183,95.5,43,81.6,241,69.3,414,private,0,/world-university-rankings/emory-university,,United States,"13,127",4,19%,61:39:00,Emory University,"Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Chemistry,Economics & Econometrics,General Engineering,Psychology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,History, Philosophy & Theology,Communication & Media Studies,Other Health,Sociology,Politics & International Studies (incl Development Studies),Physics & Astronomy,Law,Medicine & Dentistry,Biological Sciences,Business & Management",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-20903556,,0.19,2494.13,13127,61,39,1308,1365
107,Lund University,66.1,1070,46.7,178,56.6,104,86.6,181,99.8,41,79.8,258,master_account,0,/world-university-rankings/lund-university,,Sweden,"30,349",12,18%,56:44:00,Lund University,"Sociology,Computer Science,Physics & Astronomy,Business & Management,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Chemistry,Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Medicine & Dentistry,Biological Sciences,Education,Chemical Engineering,Geography,Archaeology,Agriculture & Forestry,Law,History, Philosophy & Theology,Civil Engineering,Other Health,Mathematics & Statistics,Psychology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies)",FALSE,FALSE,FALSE,,,0.18,5462.82,30349,56,44,444,2229
108,University of Warwick,66.1,1080,48.1,159,52.1,126,89,139,70.5,418,96.4,28,master_account,11,/world-university-rankings/university-warwick,,United Kingdom,"24,905",14.4,44%,50:50:00,University of Warwick,"Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Chemistry,History, Philosophy & Theology,Education,Medicine & Dentistry,Communication & Media Studies,Economics & Econometrics,Mechanical & Aerospace Engineering,Mathematics & Statistics,Psychology,Civil Engineering,Geography,Electrical & Electronic Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Biological Sciences,Business & Management,Other Health,Sociology,Accounting & Finance,Art, Performing Arts & Design,Law",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-26364423,,0.44,10958.2,24905,50,50,641,2032
109,Aarhus University,65.9,1090,44.9,206,59,89,86.3,186,98.7,75,76.3,306,master_account,1,/world-university-rankings/aarhus-university,,Denmark,"26,996",13.5,9%,56:44:00,Aarhus University,"Other Health,Sport Science,Law,Computer Science,Mathematics & Statistics,Education,Veterinary Science,Geography,Economics & Econometrics,Electrical & Electronic Engineering,Communication & Media Studies,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Medicine & Dentistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Psychology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry",FALSE,FALSE,FALSE,,,0.09,2429.64,26996,56,44,565,2108
110,University of Alberta,65.9,1100,50.1,132,55.5,109,80.9,301,99.9,29,90.7,121,master_account,0,/world-university-rankings/university-alberta,,Canada,"33,730",22.8,27%,,University of Alberta,"History, Philosophy & Theology,Agriculture & Forestry,Sociology,Computer Science,Chemical Engineering,Law,Architecture,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,General Engineering,Physics & Astronomy,Economics & Econometrics,Other Health,Civil Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Education,Medicine & Dentistry,Veterinary Science,Geography,Archaeology,Chemistry,Psychology",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/applyboard?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-20147712,,0.27,9107.1,33730,0,0,338,2335
111,University of Adelaide,65.8,1110,42.4,254,50.6,138,92.8,78,95,119,92.9,84,master_account,11,/world-university-rankings/university-adelaide,,Australia,"23,792",36.4,31%,49:51:00,University of Adelaide Adelaide University,"Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Chemistry,Geography,Law,General Engineering,Physics & Astronomy,Architecture,Veterinary Science,Education,Languages, Literature & Linguistics,Civil Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Medicine & Dentistry,Electrical & Electronic Engineering,Biological Sciences,Communication & Media Studies,Sociology,Business & Management,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Psychology,Accounting & Finance",FALSE,FALSE,FALSE,,,0.31,7375.52,23792,49,51,674,1999
112,University of Göttingen,65.8,1120,50,134,54.8,112,90.1,125,70.8,411,70.7,396,master_account,0,/world-university-rankings/university-gottingen,,Germany,"23,349",27.4,14%,53:47:00,University of Göttingen,"History, Philosophy & Theology,Veterinary Science,Law,Languages, Literature & Linguistics,Physics & Astronomy,Geography,Sport Science,Accounting & Finance,Computer Science,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Education,Archaeology,Sociology,Other Health,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Psychology,Biological Sciences,Chemistry,Economics & Econometrics,Art, Performing Arts & Design,Mathematics & Statistics,Business & Management",FALSE,FALSE,FALSE,,,0.14,3268.86,23349,53,47,693,1980
113,University of Montreal,65.8,1130,51.2,124,54.1,118,81.7,289,96.6,98,87.7,154,master_account,11,/world-university-rankings/university-montreal,,Canada,"39,935",20.5,22%,,University of Montreal Université de Montréal Universite de Montreal,"Languages, Literature & Linguistics,Veterinary Science,Geography,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Sociology,Medicine & Dentistry,Physics & Astronomy,Business & Management,Archaeology,Mathematics & Statistics,Communication & Media Studies,Architecture,Biological Sciences,Education,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,Sport Science,Psychology,Computer Science,Civil Engineering,Law,Chemical Engineering,Politics & International Studies (incl Development Studies)",FALSE,FALSE,FALSE,,,0.22,8785.7,39935,0,0,212,2461
114,"University of Maryland, College Park",65.7,1140,49.4,138,58.1,93,92.8,79,70.2,430,48.6,846,public,0,/world-university-rankings/university-maryland-college-park,,United States,"33,988",17,9%,49:51:00,"University of Maryland, College Park","Chemical Engineering,General Engineering,Education,Geography,Communication & Media Studies,History, Philosophy & Theology,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Civil Engineering,Other Health,Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Mechanical & Aerospace Engineering,Archaeology,Sport Science,Politics & International Studies (incl Development Studies),Sociology,Accounting & Finance,Business & Management,Agriculture & Forestry,Physics & Astronomy,Electrical & Electronic Engineering,Architecture,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-76110123,,0.09,3058.92,33988,49,51,329,2344
115,Ghent University,65.6,1150,47.2,173,59.3,88,85.3,201,99.7,46,65.7,467,master_account,0,/world-university-rankings/ghent-university,,Belgium,"41,487",37.6,12%,57:43:00,Ghent University,"Languages, Literature & Linguistics,Accounting & Finance,Chemistry,Chemical Engineering,Psychology,Economics & Econometrics,Archaeology,Physics & Astronomy,Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Sociology,Law,Mechanical & Aerospace Engineering,Other Health,Geography,Art, Performing Arts & Design,Medicine & Dentistry,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sport Science,Business & Management,Civil Engineering,Veterinary Science,Education,Agriculture & Forestry,Communication & Media Studies",FALSE,FALSE,FALSE,,,0.12,4978.44,41487,57,43,192,2481
116,University of Bern,65.4,1160,45.1,203,47,167,93.3,69,99.2,67,87,166,master_account,0,/world-university-rankings/university-bern,,Switzerland,"12,399",18.2,16%,59:41:00,University of Bern,"Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Biological Sciences,Law,Other Health,Sociology,Veterinary Science,Psychology,Languages, Literature & Linguistics,Archaeology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Chemistry,Education,Art, Performing Arts & Design,Computer Science,Geography,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Physics & Astronomy,Sport Science,Communication & Media Studies",FALSE,FALSE,FALSE,,,0.16,1983.84,12399,59,41,1372,1301
117,Michigan State University,65.4,1170,54.8,102,52.3,125,86.2,189,70,432,71.4,387,public,0,/world-university-rankings/michigan-state-university,,United States,"44,514",16.1,11%,52:48:00,Michigan State University,"Architecture,Veterinary Science,Communication & Media Studies,Art, Performing Arts & Design,Agriculture & Forestry,Biological Sciences,Electrical & Electronic Engineering,Law,Medicine & Dentistry,Geography,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemical Engineering,Economics & Econometrics,Other Health,Sociology,Languages, Literature & Linguistics,Education,Chemistry,Business & Management,Sport Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Civil Engineering,Mathematics & Statistics,Psychology,Computer Science,Politics & International Studies (incl Development Studies),General Engineering",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-58650993,,0.11,4896.54,44514,52,48,162,2511
118,Texas A&M University,65.3,1180,55.2,98,62.1,77,77.3,388,76.4,313,64.1,501,public,0,/world-university-rankings/texas-am-university,,United States,"64,427",20.5,6%,47:53:00,Texas A&M University,"Architecture,Physics & Astronomy,Communication & Media Studies,Education,Computer Science,Sport Science,Accounting & Finance,History, Philosophy & Theology,Chemical Engineering,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Law,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Archaeology,Biological Sciences,Psychology,Electrical & Electronic Engineering,Veterinary Science,Business & Management,Other Health,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Civil Engineering,Geography",FALSE,FALSE,FALSE,,,0.06,3865.62,64427,47,53,61,2612
119,Rice University,65.2,1190,56.4,89,45.6,184,86.5,183,73.9,351,85.8,179,private,0,/world-university-rankings/rice-university,,United States,"7,318",9.8,26%,42:58:00,Rice University,"Mechanical & Aerospace Engineering,Physics & Astronomy,Business & Management,Biological Sciences,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Sport Science,Economics & Econometrics,Civil Engineering,Sociology,Architecture,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Education,Computer Science,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Psychology,History, Philosophy & Theology,Chemical Engineering,Accounting & Finance",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-26979505,,0.26,1902.68,7318,42,58,1876,797
120,University of Vienna,65.2,1200,48.7,149,60.3,84,77.4,385,75.9,320,94.9,50,master_account,0,/world-university-rankings/university-vienna,,Austria,"31,318",37.4,31%,66:34:00,University of Vienna,"Physics & Astronomy,Accounting & Finance,Archaeology,Chemistry,Education,History, Philosophy & Theology,Geography,Sport Science,Law,Languages, Literature & Linguistics,Veterinary Science,Business & Management,Mathematics & Statistics,Psychology,Other Health,Communication & Media Studies,Economics & Econometrics,Computer Science,Politics & International Studies (incl Development Studies),Biological Sciences,Sociology,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,FALSE,,,0.31,9708.58,31318,66,34,410,2263
121,University of Helsinki,65.1,1210,48.1,158,57.6,97,90.6,114,69.2,451,56.7,647,master_account,0,/world-university-rankings/university-helsinki,,Finland,"22,887",15.9,5%,67:33:00,University of Helsinki,"Computer Science,Geography,Physics & Astronomy,Biological Sciences,Psychology,Archaeology,Chemistry,Medicine & Dentistry,Communication & Media Studies,Agriculture & Forestry,Sociology,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Law,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Veterinary Science,Education",FALSE,FALSE,FALSE,,,0.05,1144.35,22887,67,33,715,1958
122,Penn State (Main campus),65,1220,53.1,111,58.7,91,83.7,241,70.4,421,58.4,616,public,0,/world-university-rankings/penn-state-main-campus,,United States,"45,875",14.2,15%,48:52:00,Penn State (Main campus),"Education,Economics & Econometrics,Agriculture & Forestry,Archaeology,Veterinary Science,Geography,Law,Mathematics & Statistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Communication & Media Studies,Medicine & Dentistry,General Engineering,Chemical Engineering,Sociology,Physics & Astronomy,Sport Science,Other Health,Languages, Literature & Linguistics,Accounting & Finance,Art, Performing Arts & Design,Civil Engineering,Computer Science,Business & Management,Psychology,Chemistry,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,History, Philosophy & Theology,Architecture",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-63396649,,0.15,6881.25,45875,48,52,150,2523
123,University of Basel,64.9,1230,50.8,127,42.9,210,87.7,157,99.4,62,95.4,42,master_account,0,/world-university-rankings/university-basel,,Switzerland,"8,536",10.4,31%,56:44:00,University of Basel,"Economics & Econometrics,Psychology,Communication & Media Studies,Art, Performing Arts & Design,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemistry,Other Health,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Sport Science,Mathematics & Statistics,History, Philosophy & Theology,Law,Medicine & Dentistry,Physics & Astronomy,Archaeology,Geography,Business & Management,Education,Biological Sciences",FALSE,FALSE,FALSE,,,0.31,2646.16,8536,56,44,1745,927
124,University of Massachusetts,64.9,1240,54,106,46.9,169,87.3,168,85.6,200,77.3,290,master_account,0,/world-university-rankings/university-massachusetts,,United States,"63,500",13.3,14%,50:50:00,University of Massachusetts,"Veterinary Science,Electrical & Electronic Engineering,Sport Science,Sociology,Art, Performing Arts & Design,Education,Medicine & Dentistry,Physics & Astronomy,Mathematics & Statistics,Languages, Literature & Linguistics,General Engineering,Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Chemical Engineering,Civil Engineering,Other Health,Chemistry,Law,Psychology,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Communication & Media Studies,Architecture,Biological Sciences,Economics & Econometrics,Accounting & Finance,Archaeology,Geography",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-88328014,,0.14,8890,63500,50,50,65,2608
125,Vrije Universiteit Amsterdam,64.7,1250,40.4,297,51,137,93.4,68,91.5,151,84.3,197,master_account,0,/world-university-rankings/vrije-universiteit-amsterdam,,Netherlands,"31,704",19.2,18%,57:43:00,Vrije Universiteit Amsterdam,"Sport Science,Psychology,Sociology,Medicine & Dentistry,Architecture,Politics & International Studies (incl Development Studies),Chemistry,Languages, Literature & Linguistics,Other Health,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Biological Sciences,Computer Science,Communication & Media Studies,Law,Agriculture & Forestry,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Education,Economics & Econometrics,Geography,Physics & Astronomy,Business & Management,Archaeology,Mathematics & Statistics",FALSE,FALSE,FALSE,,,0.18,5706.72,31704,57,43,399,2274
126,Technical University of Denmark,64.6,1260,50.7,129,47.4,162,83.2,257,99.7,52,92.2,98,master_account,0,/world-university-rankings/technical-university-denmark,,Denmark,"10,410",7.7,28%,32 : 68,Technical University of Denmark,"Veterinary Science,Mechanical & Aerospace Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Chemical Engineering,Agriculture & Forestry,General Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Chemistry,Biological Sciences,Computer Science,Other Health",FALSE,FALSE,FALSE,,,0.28,2914.8,10410,32,0,1535,1137
127,University of Oslo,64.3,1270,45.6,197,50.6,139,92.1,91,72.3,379,75.6,319,master_account,0,/world-university-rankings/university-oslo,,Norway,"20,967",12.5,15%,66:34:00,University of Oslo,"Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Other Health,Art, Performing Arts & Design,Biological Sciences,Geography,Education,Computer Science,Communication & Media Studies,Archaeology,Chemistry,History, Philosophy & Theology,Languages, Literature & Linguistics,Sociology,Psychology,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Law",FALSE,FALSE,FALSE,,,0.15,3145.05,20967,66,34,808,1865
