rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,country code,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,,intl_stu_dec,intl_val,stu_val,female,male,stu_rank,stu_rank_a
2548,"St Mary’s University, Twickenham",n/a,1000644,n/a,2548,n/a,2548,n/a,2548,n/a,2548,n/a,2548,master_account,0,/world-university-rankings/st-marys-university-twickenham,,United Kingdom,"4,505",15.8,23%,55:45:00,"St Mary’s University, Twickenham","Law,History, Philosophy & Theology,Sport Science,Education,Art, Performing Arts & Design,Psychology,Politics & International Studies (incl Development Studies),Communication & Media Studies,Languages, Literature & Linguistics,Other Health,Business & Management,Accounting & Finance,Biological Sciences",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-60355453,,0.23,1036.15,4505,55,45,2214,458
2549,Stranmillis University College,n/a,1000645,n/a,2549,n/a,2549,n/a,2549,n/a,2549,n/a,2549,master_account,0,/world-university-rankings/stranmillis-university-college,,United Kingdom,"1,115",24.8,18%,79:21:00,Stranmillis University College,"Sport Science,Education",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-08209302,,0.18,200.7,1115,79,21,2576,96
2550,University of Suffolk,n/a,1000646,n/a,2550,n/a,2550,n/a,2550,n/a,2550,n/a,2550,master_account,0,/world-university-rankings/university-suffolk,,United Kingdom,"3,175",15.1,14%,72:28:00,University of Suffolk,"Geography,Architecture,Computer Science,Other Health,Sport Science,Sociology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Accounting & Finance,History, Philosophy & Theology,Communication & Media Studies,Biological Sciences,Education,General Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Business & Management,Economics & Econometrics,Psychology,Law,Veterinary Science",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67516178,,0.14,444.5,3175,72,28,2354,319
2551,University of Sufism and Modern Sciences (USMS),n/a,1000647,n/a,2551,n/a,2551,n/a,2551,n/a,2551,n/a,2551,master_account,0,/world-university-rankings/university-sufism-and-modern-sciences-usms,,Pakistan,646,28.1,%,29 : 71,University of Sufism and Modern Sciences (USMS),"Computer Science,Languages, Literature & Linguistics,Law,Business & Management,Education,Accounting & Finance",FALSE,FALSE,FALSE,,,#VALUE!,0,646,29,0,2632,41
2552,Sugiyama Jogakuen University,n/a,1000648,n/a,2552,n/a,2552,n/a,2552,n/a,2552,n/a,2552,master_account,0,/world-university-rankings/sugiyama-jogakuen-university,,Japan,"5,808",28.3,1%,100:00:00,Sugiyama Jogakuen University,"Art, Performing Arts & Design,Sociology,Other Health,Psychology,Politics & International Studies (incl Development Studies),Business & Management,Communication & Media Studies,Education,Languages, Literature & Linguistics,Medicine & Dentistry,Architecture,History, Philosophy & Theology,Geography,Accounting & Finance",FALSE,FALSE,FALSE,,,0.01,58.08,5808,100,0,2051,622
2553,Sukkur IBA University,n/a,1000649,n/a,2553,n/a,2553,n/a,2553,n/a,2553,n/a,2553,master_account,0,/world-university-rankings/sukkur-iba-university,,Pakistan,"4,345",15.4,0%,26 : 74,Sukkur IBA University,"Business & Management,Sport Science,Computer Science,Economics & Econometrics,Education,Communication & Media Studies,Accounting & Finance,Mathematics & Statistics,Electrical & Electronic Engineering",FALSE,FALSE,FALSE,,,0,0,4345,26,0,2234,439
2554,Suleyman Demirel University,n/a,1000650,n/a,2554,n/a,2554,n/a,2554,n/a,2554,n/a,2554,master_account,0,/world-university-rankings/suleyman-demirel-university-0,,Kazakhstan,"7,319",22.7,0%,53:47:00,Suleyman Demirel University,"Computer Science,Economics & Econometrics,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Business & Management,Mathematics & Statistics,Education,Law,History, Philosophy & Theology,Communication & Media Studies,Accounting & Finance",FALSE,FALSE,FALSE,,,0,0,7319,53,47,1875,798
2555,University of Swabi,n/a,1000651,n/a,2555,n/a,2555,n/a,2555,n/a,2555,n/a,2555,master_account,0,/world-university-rankings/university-swabi,,Pakistan,"1,090",11.6,0%,0.725,University of Swabi,"Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Law,Computer Science,Geography,History, Philosophy & Theology,Communication & Media Studies,Psychology,Mathematics & Statistics,Education,Agriculture & Forestry,Sociology,Politics & International Studies (incl Development Studies),Chemistry,Physics & Astronomy,Economics & Econometrics,Biological Sciences",FALSE,FALSE,FALSE,,,0,0,1090,0,0,2580,93
2556,Tafila Technical University,n/a,1000652,n/a,2556,n/a,2556,n/a,2556,n/a,2556,n/a,2556,master_account,0,/world-university-rankings/tafila-technical-university,,Jordan,"5,320",22.9,1%,40 : 60,Tafila Technical University,"Civil Engineering,Physics & Astronomy,Education,Chemical Engineering,Electrical & Electronic Engineering,Computer Science,Chemistry,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Business & Management,General Engineering,Accounting & Finance,Mechanical & Aerospace Engineering,Biological Sciences",FALSE,FALSE,FALSE,,,0.01,53.2,5320,40,0,2104,569
2557,University of Taipei,n/a,1000653,n/a,2557,n/a,2557,n/a,2557,n/a,2557,n/a,2557,master_account,0,/world-university-rankings/university-taipei,,Taiwan,"8,117",19.9,3%,60:40:00,University of Taipei UP,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Art, Performing Arts & Design,Computer Science,Education,Geography,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Sport Science,Chemistry,History, Philosophy & Theology,Psychology,Biological Sciences,Mathematics & Statistics,Sociology,Other Health,Business & Management",FALSE,FALSE,FALSE,,,0.03,243.51,8117,60,40,1798,875
2558,Takushoku University,n/a,1000654,n/a,2558,n/a,2558,n/a,2558,n/a,2558,n/a,2558,master_account,0,/world-university-rankings/takushoku-university,,Japan,"9,033",12.7,13%,31 : 69,Takushoku University,"Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Law,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,Economics & Econometrics,Electrical & Electronic Engineering",FALSE,FALSE,FALSE,,,0.13,1174.29,9033,31,0,1688,985
2559,Tama Art University,n/a,1000655,n/a,2559,n/a,2559,n/a,2559,n/a,2559,n/a,2559,master_account,0,/world-university-rankings/tama-art-university,,Japan,"4,745",33.4,11%,72:28:00,Tama Art University,"Art, Performing Arts & Design",FALSE,FALSE,FALSE,,,0.11,521.95,4745,72,28,2174,499
2560,University of Tamanghasset,n/a,1000656,n/a,2560,n/a,2560,n/a,2560,n/a,2560,n/a,2560,master_account,0,/world-university-rankings/university-tamanghasset,,Algeria,"8,224",32,0%,48:52:00,University of Tamanghasset,"Biological Sciences,Accounting & Finance,Archaeology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Law,History, Philosophy & Theology,Sociology,Languages, Literature & Linguistics,Business & Management,Physics & Astronomy,Civil Engineering,Psychology,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Chemistry",FALSE,FALSE,FALSE,,,0,0,8224,48,52,1781,892
2561,Tarlac Agricultural University,n/a,1000657,n/a,2561,n/a,2561,n/a,2561,n/a,2561,n/a,2561,master_account,0,/world-university-rankings/tarlac-agricultural-university,,Philippines,"6,518",26.1,0%,59:41:00,Tarlac Agricultural University,"Psychology,Agriculture & Forestry,Business & Management,Veterinary Science,Education,Economics & Econometrics,Computer Science",FALSE,FALSE,FALSE,,,0,0,6518,59,41,1964,707
2562,Tarsus University,n/a,1000658,n/a,2562,n/a,2562,n/a,2562,n/a,2562,n/a,2562,master_account,0,/world-university-rankings/tarsus-university,,Turkey,"2,926",22.7,1%,48:52:00,Tarsus University,"Economics & Econometrics,Electrical & Electronic Engineering,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),General Engineering,Accounting & Finance,Computer Science",FALSE,FALSE,FALSE,,,0.01,29.26,2926,48,52,2383,290
2563,Tashkent Institute of Chemical Technology,n/a,1000659,n/a,2563,n/a,2563,n/a,2563,n/a,2563,n/a,2563,master_account,0,/world-university-rankings/tashkent-institute-chemical-technology,,Uzbekistan,"5,140",17.1,0%,36 : 64,Tashkent Institute of Chemical Technology,"Chemistry,Physics & Astronomy,General Engineering,Agriculture & Forestry,Biological Sciences,Chemical Engineering",FALSE,FALSE,FALSE,,,0,0,5140,36,0,2126,547
2564,Tashkent Institute of Finance,n/a,1000660,n/a,2564,n/a,2564,n/a,2564,n/a,2564,n/a,2564,master_account,0,/world-university-rankings/tashkent-institute-finance,,Uzbekistan,"9,115",22.7,1%,32 : 68,Tashkent Institute of Finance,"Business & Management,Accounting & Finance,Economics & Econometrics",FALSE,FALSE,FALSE,,,0.01,91.15,9115,32,0,1680,993
2565,Tashkent University of Information Technologies,n/a,1000661,n/a,2565,n/a,2565,n/a,2565,n/a,2565,n/a,2565,master_account,0,/world-university-rankings/tashkent-university-information-technologies,,Uzbekistan,"18,118",19.4,0%,0.847916667,Tashkent University of Information Technologies,"Art, Performing Arts & Design,Mathematics & Statistics,Computer Science,Communication & Media Studies,Business & Management,Economics & Econometrics,Electrical & Electronic Engineering,Education",FALSE,FALSE,FALSE,,,0,0,18118,0,0,970,1703
